link;name;location;company;vacancy_date;date_of_download
https://team.vk.company/vacancy/31649/;Руководитель проектов в Data Office;Москва, комбинированный;Data office;1970-01-01;2023-10-13
https://team.vk.company/vacancy/33669/;Data Analyst в Data Office;Москва, гибкий;ВКонтакте;1970-01-01;2023-10-13
https://team.vk.company/vacancy/32527/;Data Scientist R&G;дистанционный;VK;1970-01-01;2023-10-13
https://team.vk.company/vacancy/33748/;Data Engineer;Москва, гибкий;VK Реклама;1970-01-01;2023-10-13
https://team.vk.company/vacancy/30207/;Data Engineer;Москва, гибкий;Рекламные технологии и развитие СМБ;1970-01-01;2023-10-13
https://team.vk.company/vacancy/33580/;Data Engineer;Москва, гибкий;Одноклассники;1970-01-01;2023-10-13
https://team.vk.company/vacancy/33417/;Data engineer в направление HR аналитики;Москва, гибкий;Департамент персонала;1970-01-01;2023-10-13
https://team.vk.company/vacancy/32888/;Data-инженер;Москва, гибкий;Рекламные технологии и развитие СМБ;1970-01-01;2023-10-13
https://team.vk.company/vacancy/21771/;Site Reliability Engineer (SRE);Москва, гибкий;Технический департамент;1970-01-01;2023-10-13
https://team.vk.company/vacancy/33360/;SRE DWH/Bigdata;Москва, гибкий;Технический департамент;1970-01-01;2023-10-13
https://team.vk.company/vacancy/32854/;SRE/Site Reliability Engineer (R&D);Москва, комбинированный;VK;1970-01-01;2023-10-13
https://team.vk.company/vacancy/32492/;Golang-разработчик в команду Data Masters;Москва, гибкий;VK Cloud;1970-01-01;2023-10-13
https://team.vk.company/vacancy/32590/;TeamLead команды Data Masters;Москва, гибкий;VK Cloud;1970-01-01;2023-10-13
https://team.vk.company/vacancy/27233/;Старший Python разработчик в команду BigData;Москва, гибкий;VK Cloud;1970-01-01;2023-10-13
https://team.vk.company/vacancy/27627/;Python разработчик в команду BigData;Москва, гибкий;VK Cloud;1970-01-01;2023-10-13
https://team.vk.company/vacancy/31110/;Data Engineer (группа нейронных сетей);Москва, гибкий;Голосовые технологии (Маруся);1970-01-01;2023-10-13
https://team.vk.company/vacancy/33340/;Senior Data Scientist в команду контент-системы;Москва, гибкий;Дзен;1970-01-01;2023-10-13
https://team.vk.company/vacancy/30417/;Data scientist/Machine learning engineer в команду CoreML;Санкт-Петербург, гибкий;ВКонтакте;1970-01-01;2023-10-13
https://team.vk.company/vacancy/31866/;Data engineer в команду поисковой базы;Москва, гибкий;Поиск;1970-01-01;2023-10-13
https://team.vk.company/vacancy/33620/;Data Scientist;Москва, гибкий;Рекламные технологии и развитие СМБ;1970-01-01;2023-10-13
https://team.vk.company/vacancy/32070/;Data Engineer VK Музыка;Москва, гибкий;ВКонтакте;1970-01-01;2023-10-13
https://team.vk.company/vacancy/33303/;Data Engineer;Москва, гибкий;Рекламные технологии и развитие СМБ;1970-01-01;2023-10-13
https://team.vk.company/vacancy/25821/;Data scientist / Machine learning engineer (команда Рекомендаций и машинного обучения);дистанционный;ВКонтакте;1970-01-01;2023-10-13
https://team.vk.company/vacancy/33824/;Data Scientist;Москва, гибкий;myTracker;1970-01-01;2023-10-13
https://team.vk.company/vacancy/33028/;ML Engineer / Data Scientist в команду автоматизации ML-процессов;Москва, гибкий;ВКонтакте;1970-01-01;2023-10-13
https://team.vk.company/vacancy/32773/;Разработчик-исследователь / Data Scientist в Data Office;Москва, гибкий;ВКонтакте;1970-01-01;2023-10-13
https://team.vk.company/vacancy/32800/;Data Scientist (реклама и медиа);Москва, гибкий;VK Реклама;1970-01-01;2023-10-13
https://team.vk.company/vacancy/31884/;High performance engineer (Группа нейронных сетей);Москва, гибкий;Голосовые технологии (Маруся);1970-01-01;2023-10-13
https://team.vk.company/vacancy/33003/;Deep Learning Engineer (NLP);Москва, гибкий;Голосовые технологии (Маруся);1970-01-01;2023-10-13
https://team.vk.company/vacancy/33085/;ML engineer;Москва, гибкий;VK Реклама;1970-01-01;2023-10-13
https://team.vk.company/vacancy/32671/;SDET / QA Automation Engineer на платформу Android;Санкт-Петербург, гибкий;Одноклассники;1970-01-01;2023-10-13
